Unnamed: 0,Satisfacción - Escala en 10 puntos (%),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,IDAT,,Invierte para proveer energía con calidad,Empresa que invierte para proveer energía a más clientes y con calidad,4.48,1.76,2.4,4.48,10.24,11.84,14.24,18.72,12.16,11.52,8.16,100,625,6.853658536585,61.672473867596
,,IDAT,,Informa a sus clientes con respecto a su actuación,Empresa que busca informar y aclarar a sus clientes con respecto a su actuación,4.16,2.72,4.64,6.08,11.04,13.12,14.4,17.76,10.08,8.8,7.2,100,625,6.501724137931,55
,,IDAT,,Se ocupa de evitar hurtos de energía,"Empresa que se ocupa de evitar fraudes como los hurtos de energía, etc",5.44,3.84,3.84,5.6,8.8,9.12,13.44,14.08,11.04,14.72,10.08,100,625,6.661921708185,59.252669039146
,,IDAT,,Ofrece atención sin discriminación,"Empresa que ofrece la misma atención a todos los clientes, que no promueve ningún tipo de discriminación",3.84,2.4,2.08,4.16,6.72,9.44,15.68,17.92,12.16,16.32,9.28,100,625,7.137566137566,68.430335097002
,,IDAT,,Dispuesta a negociar con sus clientes (flexible),"Empresa flexible, o sea, que está dispuesta a negociar/escuchar a sus clientes para resolver sus inquietudes",5.28,3.04,4.48,6.56,10.72,10.08,16,18.08,8.16,10.4,7.2,100,625,6.456896551724,56.724137931035
,,IDAT,,Se ocupa del medio ambiente,"Empresa que se ocupa del medio ambiente, de la preservación de la naturaleza",1.6,1.76,2.4,2.88,9.44,12.32,15.36,18.08,7.04,12.32,16.8,100,625,7.015384615385,63.461538461539
,,IDAT,,Preparada para situaciones de emergencia(2),"Empresa preparada y con buena organización para atender su región/zona en casos de tormentas, terremotos, vientos huracanados, incendios, inundaciones u otras emergencias climáticas graves (2)",3.2,1.6,2.24,5.44,8.96,8.64,18.24,20.64,12.16,13.28,5.6,100,625,7.061016949153,68.135593220339
,,🆕,IDAT,Enfoca en las necesidades de sus clientes(2),Ser una empresa que enfoca en las necesidades de sus clientes(2),4,3.04,3.36,5.28,11.04,12.8,18.24,17.44,9.28,11.52,4,100,625,6.658333333333,58.833333333333
,,🆕,IDAT,Invierte en modernización e innovación(2),Ser una empresa que invierte en modernización e innovación(2),3.84,2.72,3.2,4.8,9.12,10.56,13.92,18.72,10.4,12.96,9.76,100,625,6.84219858156,62.056737588653
,ISCAL,-,,Índice de satisfacción con la calidad percibida,Índice de satisfacción con la calidad percibida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.963198467743
,IECP,-,,Índice de excelencia de la calidad percibida,Índice de excelencia de la calidad percibida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.15366748742
,IICP,-,,Índice de insatisfacción con la calidad percibida,Índice de insatisfacción con la calidad percibida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.190645325527
,IIS,-,,Índice intermedio de satisfacción,Índice intermedio de satisfacción,1.6,0.32,0.96,3.84,6.08,9.6,25.76,23.36,14.72,13.6,0.16,100,625,7.453525641026,77.564102564103
,RSA,IDAR,,Responsabilidad socioambiental,Responsabilidad socioambiental,4.02,2.08,2.9,4.46,8.5,10.22,13.4,15.28,8.14,10.6,20.4,100,5000,6.706532663317,59.572864321608
,,IDAT,,Promoción de programas sociales,"Empresa que ofrece apoyo o realiza programas sociales, como, por ejemplo, programa de incentivo al deporte, de formación profesional, de educación ambiental, a la mejora de la educación y las condiciones de salud",4.16,1.28,3.2,3.68,6.56,10.88,9.6,12.32,5.44,7.36,35.52,100,625,6.473945409429,53.846153846154
,,IDAT,,Promoción de acciones culturales,"Empresa que realiza u ofrece apoyo a eventos culturales, como, por ejemplo, la realización de conciertos, exhibición de películas, obras de teatro, exposiciones, fechas festivas, torneos, patrocinios, etc.",4.8,2.4,2.56,4.32,7.52,9.28,9.76,12.32,4.8,7.84,34.4,100,625,6.346341463415,52.926829268293
,,IDAT,,Se ocupa de la prevención de accidentes,Empresa que se ocupa de la prevención de accidentes con la red eléctrica y seguridad de la población,4.16,1.76,2.56,6.56,8.96,11.2,17.28,18.4,8.8,10.4,9.92,100,625,6.715808170515,60.923623445826
